is:open label:{{param}},S-waiting-on-author,S-waiting-on-review,S-waiting-on-team,S-waiting-on-crater,S-waiting-on-bikeshed,S-blocked,S-waiting-on-bors,S-inactive
2021-12-19,175,210,13,1,2,47,21,1
2021-12-18,174,214,14,1,2,43,35,1
2021-12-17,177,212,13,1,2,41,23,1
2021-12-16,180,219,13,1,2,40,16,1
2021-12-15,175,220,13,0,2,41,35,1
2021-12-14,171,220,14,0,2,42,10,1
2021-12-13,166,210,14,0,2,41,19,1
2021-12-12,163,211,14,0,2,40,29,1
2021-12-11,166,200,14,0,2,40,59,1
2021-12-10,166,211,14,0,2,42,33,1
2021-12-09,169,224,14,0,2,42,20,1
2021-12-08,168,214,14,1,2,42,30,1
2021-12-07,173,226,14,1,2,42,14,1
2021-12-06,170,231,14,1,2,41,10,1
2021-12-05,175,221,14,1,2,41,13,0
2021-12-04,177,215,14,1,2,40,11,0
2021-12-03,174,216,14,1,2,42,27,0
2021-12-02,173,227,13,2,2,43,11,0
2021-12-01,170,226,14,2,2,43,19,0
2021-11-30,171,228,14,3,2,40,20,0
2021-11-29,172,231,14,3,2,40,11,0
2021-11-28,177,217,14,3,2,40,7,0
2021-11-27,176,215,14,3,2,39,21,0
2021-11-26,177,211,14,3,2,39,10,0
2021-11-25,169,210,14,3,2,41,19,0
2021-11-24,168,205,14,3,2,38,14,0
2021-11-23,173,214,14,1,2,38,10,0
2021-11-22,175,210,14,1,2,38,9,0
2021-11-21,179,204,14,1,2,39,15,0
2021-11-20,178,204,14,0,2,38,21,0
2021-11-19,176,209,14,0,2,37,18,0
2021-11-18,173,216,14,0,2,39,12,0
2021-11-17,178,215,14,0,2,38,21,0
2021-11-16,173,214,14,0,3,38,29,0
2021-11-15,174,226,13,0,3,38,12,0
2021-11-14,172,231,13,0,3,37,10,0
2021-11-13,176,225,13,0,3,36,3,0
2021-11-12,175,216,13,0,3,36,9,0
2021-11-11,176,207,15,0,3,36,14,0
2021-11-10,176,206,15,0,3,35,9,0
2021-11-09,165,228,15,0,3,34,17,0
2021-11-08,170,223,15,0,3,33,6,1
2021-11-07,172,222,14,1,3,33,9,1
2021-11-06,173,222,14,1,3,33,10,1
2021-11-05,170,211,14,1,3,32,16,1
2021-11-04,169,211,14,0,3,31,3,1
2021-11-03,167,201,14,0,3,31,11,1
2021-11-02,171,192,14,0,3,32,11,1
2021-11-01,168,198,14,0,3,32,10,1
2021-10-31,168,189,12,0,3,32,19,1
2021-10-30,168,206,13,0,3,32,13,1
2021-10-29,170,207,13,0,3,32,7,1
2021-10-28,167,204,13,0,3,32,0,1
2021-10-27,170,197,15,0,3,33,5,1
2021-10-26,170,196,14,0,3,33,10,1
2021-10-25,171,190,14,0,3,34,10,1
2021-10-24,169,195,14,0,3,34,10,1
2021-10-23,169,195,14,0,3,35,21,1
2021-10-22,165,192,14,0,3,36,31,1
2021-10-21,152,219,12,0,3,34,28,1
2021-10-20,152,219,12,0,3,33,19,1
2021-10-19,149,214,13,0,3,33,19,0
2021-10-18,149,214,12,0,3,32,13,0
2021-10-17,149,221,12,0,3,32,12,0
2021-10-16,147,210,11,0,2,32,20,0
2021-10-15,152,205,11,0,2,33,15,0
2021-10-14,153,198,11,0,2,33,12,0
2021-10-13,156,197,11,0,2,32,12,0
2021-10-12,155,191,11,0,2,32,18,0
2021-10-11,153,195,10,0,2,31,10,0
2021-10-10,156,186,11,1,2,31,13,0
2021-10-09,149,201,10,1,2,32,13,0
2021-10-08,148,203,10,1,2,33,18,0
2021-10-07,151,202,11,0,2,33,12,0
2021-10-06,147,207,11,0,3,29,25,0
2021-10-05,143,203,11,0,3,31,43,0
2021-10-04,127,246,12,0,2,31,36,0
2021-10-03,128,267,10,0,2,32,12,0
2021-10-02,124,264,10,0,2,32,14,0
2021-10-01,125,252,10,0,2,32,28,0
2021-09-30,123,252,10,0,2,32,36,0
2021-09-29,127,254,10,0,2,32,27,0
2021-09-28,125,253,10,0,2,32,13,0
2021-09-27,126,255,10,0,2,31,8,0
2021-09-26,128,247,10,0,2,31,14,0
2021-09-25,129,241,10,0,2,33,19,0
2021-09-24,130,233,11,0,2,33,23,0
2021-09-23,127,243,11,0,2,32,15,0
2021-09-22,125,240,11,1,2,32,31,0
2021-09-21,125,234,11,1,2,33,29,0
2021-09-20,127,236,11,0,2,33,21,0
2021-09-19,130,232,11,0,2,32,30,0
2021-09-18,127,231,11,0,2,30,29,0
2021-09-17,130,244,10,0,2,29,34,0
2021-09-16,135,235,9,0,2,30,44,0
2021-09-15,134,242,9,0,2,31,17,0
2021-09-14,131,246,9,0,2,31,17,0
2021-09-13,127,257,9,0,2,32,10,0
2021-09-12,125,250,9,0,2,34,17,0
2021-09-11,124,245,9,0,2,33,39,0
2021-09-10,123,240,10,0,2,32,26,0
2021-09-09,119,240,10,0,2,32,19,0
2021-09-08,117,244,10,0,2,32,23,0
2021-09-07,118,239,11,0,2,32,15,0
2021-09-06,120,245,11,0,2,30,7,0
2021-09-05,120,243,11,0,2,30,8,0
2021-09-04,119,240,11,0,2,30,9,0
2021-09-03,116,245,11,0,2,30,14,0
2021-09-02,115,245,11,0,2,30,19,0
2021-09-01,115,248,11,0,2,29,19,0
2021-08-31,114,246,11,0,2,29,35,0
2021-08-30,113,255,11,0,2,29,7,0
2021-08-29,114,249,11,0,2,30,19,0
2021-08-28,115,241,11,0,2,32,17,0
2021-08-27,113,235,11,0,2,35,26,0
2021-08-26,110,241,12,1,2,37,16,0
2021-08-25,114,228,12,2,2,37,26,0
2021-08-24,113,231,12,1,2,37,11,0
2021-08-23,115,240,12,0,2,37,2,0
2021-08-22,112,232,12,0,2,37,24,0
2021-08-21,113,233,13,0,2,37,20,0
2021-08-20,109,230,13,0,2,35,19,0
2021-08-19,103,241,14,1,2,34,21,0
2021-08-18,107,239,14,0,2,34,14,0
2021-08-17,109,239,15,1,2,33,22,0
2021-08-16,118,234,17,1,2,34,14,0
2021-08-15,115,235,16,0,2,35,13,1
2021-08-14,120,244,16,0,2,35,3,1
2021-08-13,118,242,17,0,2,35,10,1
2021-08-12,121,230,17,2,2,33,12,1
2021-08-11,118,228,17,2,2,33,31,1
2021-08-10,119,229,17,1,2,33,16,1
2021-08-09,121,226,17,2,2,34,6,1
2021-08-08,121,227,17,2,2,34,6,1
2021-08-07,120,226,17,3,2,35,9,1
2021-08-06,120,227,16,3,2,34,15,1
2021-08-05,116,232,17,3,2,35,8,1
2021-08-04,119,228,18,3,2,35,12,1
2021-08-03,114,227,19,3,2,35,12,1
2021-08-02,115,236,18,3,2,35,20,1
2021-08-01,110,261,17,3,2,35,4,1
2021-07-31,107,255,18,3,2,36,7,0
2021-07-30,105,259,18,4,2,36,12,0
2021-07-29,104,246,18,3,2,37,21,0
2021-07-28,106,244,18,2,3,38,17,1
2021-07-27,108,251,18,2,3,37,14,1
2021-07-26,108,245,18,2,3,36,7,1
2021-07-25,112,232,18,4,3,39,7,1
2021-07-24,112,228,16,4,3,37,14,1
2021-07-23,117,241,15,4,3,38,17,1
2021-07-22,116,240,16,4,3,36,9,1
2021-07-21,116,237,17,4,3,36,16,1
2021-07-20,114,233,18,4,3,37,12,1
2021-07-19,118,230,18,3,3,36,12,1
2021-07-18,121,234,18,2,3,35,10,1
