is:open created:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2024-03-12,15,29,24,47,69,418
2024-03-11,29,36,28,47,64,425
2024-03-10,26,29,28,49,58,423
2024-03-09,24,27,29,54,64,425
2024-03-08,22,35,34,53,66,428
2024-03-07,45,28,31,49,66,422
2024-03-06,26,31,34,48,69,425
2024-03-05,22,29,32,51,70,423
2024-03-04,19,37,38,47,67,423
2024-03-03,22,30,38,43,67,419
2024-03-02,30,33,35,44,63,421
2024-03-01,22,47,33,48,57,424
2024-02-29,35,38,29,46,56,428
2024-02-28,38,27,33,44,51,431
2024-02-27,18,33,31,43,49,435
2024-02-26,19,28,32,37,46,436
2024-02-25,23,27,30,41,50,438
2024-02-24,19,32,26,33,44,440
2024-02-23,26,30,25,30,45,440
2024-02-22,30,26,29,29,46,442
2024-02-21,28,25,30,29,44,441
2024-02-20,25,24,26,37,43,441
2024-02-19,17,32,22,35,43,441
2024-02-18,22,32,22,38,44,441
2024-02-17,28,28,16,38,41,445
2024-02-16,22,32,21,39,46,450
2024-02-15,31,19,19,37,48,458
2024-02-14,32,20,21,31,47,464
2024-02-13,21,23,28,30,51,471
2024-02-12,24,23,27,29,51,475
2024-02-11,20,26,23,27,55,489
2024-02-10,18,26,20,22,57,492
2024-02-09,22,26,22,22,62,494
2024-02-08,17,29,26,22,59,498
2024-02-07,21,18,26,32,58,500
2024-02-06,16,18,23,38,54,501
2024-02-05,15,29,25,42,53,508
2024-02-04,20,37,26,42,56,507
2024-02-03,22,31,18,36,53,509
2024-02-02,17,30,22,36,52,505
2024-02-01,16,20,19,31,49,503
2024-01-31,17,16,28,32,47,503
2024-01-30,15,24,28,28,51,503
2024-01-29,16,27,31,27,52,500
2024-01-28,13,23,23,28,51,498
2024-01-27,24,24,22,29,54,503
2024-01-26,15,26,20,30,59,503
2024-01-25,27,20,18,31,56,507
2024-01-24,18,23,21,32,57,509
2024-01-23,15,22,19,33,56,512
2024-01-22,25,25,22,34,59,522
2024-01-21,14,25,23,31,62,529
2024-01-20,21,27,28,33,59,539
2024-01-19,27,21,23,38,57,543
2024-01-18,22,26,22,30,59,541
2024-01-17,14,26,28,33,62,539
2024-01-16,18,25,26,28,65,540
2024-01-15,20,22,27,29,60,537
2024-01-14,14,21,15,32,60,531
2024-01-13,20,26,19,33,59,532
2024-01-12,14,23,19,36,57,532
2024-01-11,27,19,24,37,55,530
2024-01-10,11,19,21,44,59,531
2024-01-09,20,23,16,43,67,536
2024-01-08,21,25,12,34,66,541
2024-01-07,17,22,16,25,71,536
2024-01-06,20,18,29,22,73,531
2024-01-05,17,18,35,27,75,532
2024-01-04,19,12,31,27,82,525
2024-01-03,15,29,28,32,82,523
2024-01-02,12,35,23,34,79,521
2024-01-01,19,26,20,38,74,518
2023-12-31,18,17,10,45,71,515
2023-12-30,16,25,12,44,66,513
2023-12-29,22,17,17,42,68,510
2023-12-28,19,8,26,40,64,509
2023-12-27,6,8,27,43,66,503
2023-12-26,9,12,28,41,70,499
2023-12-25,6,20,24,33,66,498
2023-12-24,13,26,29,33,71,492
2023-12-23,19,24,28,26,68,491
2023-12-22,18,22,27,31,62,490
2023-12-21,16,26,20,33,60,489
2023-12-20,24,27,21,31,55,488
2023-12-19,22,21,19,37,50,490
2023-12-18,15,22,21,38,49,492
2023-12-17,17,19,21,38,48,499
2023-12-16,18,15,14,36,49,499
2023-12-15,16,24,17,29,51,501
2023-12-14,14,20,22,32,58,494
2023-12-13,29,15,22,29,56,494
2023-12-12,13,14,23,30,53,492
2023-12-11,13,17,22,38,52,493
2023-12-10,13,26,21,37,54,495
2023-12-09,22,21,19,35,57,492
2023-12-08,27,23,22,44,54,493
2023-12-07,18,23,23,44,63,487
2023-12-06,16,18,24,44,66,490
2023-12-05,23,16,24,35,68,488
2023-12-04,6,28,34,30,70,484
2023-12-03,18,21,32,33,72,482
2023-12-02,20,20,28,26,73,482
2023-12-01,14,21,23,23,70,482
2023-11-30,19,26,20,27,74,475
2023-11-29,21,35,29,31,65,476
2023-11-28,29,20,22,36,66,475
2023-11-27,23,21,21,37,66,473
2023-11-26,11,29,18,40,68,473
2023-11-25,32,22,16,43,72,470
2023-11-24,17,21,14,40,74,466
2023-11-23,15,19,17,37,73,465
2023-11-22,20,23,28,31,65,461
2023-11-21,21,17,35,41,71,461
2023-11-20,14,15,30,37,67,462
2023-11-19,9,27,29,38,60,461
2023-11-18,16,32,26,44,68,457
2023-11-17,28,28,24,42,71,458
2023-11-16,20,25,23,42,71,455
2023-11-15,20,24,19,31,71,451
2023-11-14,14,24,33,39,71,454
2023-11-13,17,22,26,35,69,450
2023-11-12,15,20,24,32,69,449
2023-11-11,12,17,18,34,71,445
2023-11-10,18,26,22,33,68,445
2023-11-09,15,21,22,34,64,445
2023-11-08,26,13,20,33,67,443
2023-11-07,8,24,23,40,66,444
2023-11-06,15,26,20,40,67,442
2023-11-05,21,20,24,40,70,441
2023-11-04,16,17,19,36,73,445
2023-11-03,16,20,25,33,68,448
2023-11-02,10,20,23,30,68,444
2023-11-01,22,22,29,31,65,448
2023-10-31,14,23,28,32,61,452
2023-10-30,21,21,30,39,64,454
2023-10-29,20,20,24,38,66,452
2023-10-28,14,27,19,45,67,451
2023-10-27,17,28,12,46,64,459
2023-10-26,21,26,19,42,67,458
2023-10-25,22,19,28,35,71,460
2023-10-24,18,14,34,28,70,462
2023-10-23,14,16,40,37,77,459
2023-10-22,13,27,31,33,76,459
2023-10-21,20,35,25,29,75,458
2023-10-20,27,31,19,32,72,456
2023-10-19,22,33,23,37,76,454
2023-10-18,21,25,18,38,66,457
2023-10-17,31,18,15,41,68,459
2023-10-16,10,22,19,41,65,465
2023-10-15,17,21,25,42,64,471
2023-10-14,18,15,26,38,58,477
2023-10-13,13,18,22,41,53,481
2023-10-12,11,26,25,44,53,483
2023-10-11,15,22,24,36,54,485
2023-10-10,21,17,30,37,51,488
2023-10-09,13,23,27,36,56,484
2023-10-08,12,27,25,36,47,486
2023-10-07,19,24,18,38,49,491
2023-10-06,15,27,24,31,45,497
2023-10-05,20,22,31,37,47,498
2023-10-04,23,19,28,35,44,497
2023-10-03,19,16,24,39,47,500
2023-10-02,10,23,21,38,47,501
2023-10-01,14,30,19,30,51,505
2023-09-30,15,24,28,31,52,503
2023-09-29,23,19,21,26,58,505
2023-09-28,17,21,27,24,62,509
2023-09-27,14,20,17,20,64,508
2023-09-26,22,25,24,19,63,506
2023-09-25,9,27,18,19,67,502
2023-09-24,26,24,19,17,66,498
2023-09-23,17,17,15,23,67,496
2023-09-22,19,15,16,29,67,497
2023-09-21,14,17,11,30,73,494
2023-09-20,16,14,10,32,71,494
2023-09-19,16,13,12,38,66,501
2023-09-18,12,17,19,47,68,501
2023-09-17,9,14,19,45,68,506
2023-09-16,13,13,24,49,72,505
2023-09-15,10,15,22,44,72,501
2023-09-14,10,20,26,41,71,502
2023-09-13,18,17,22,34,68,500
2023-09-12,12,23,26,33,68,498
2023-09-11,14,27,30,35,67,497
2023-09-10,21,24,31,37,60,497
2023-09-09,18,22,28,41,57,496
2023-09-08,23,24,22,48,57,494
2023-09-07,18,25,19,53,57,493
2023-09-06,17,25,22,49,58,489
2023-09-05,22,22,27,45,64,486
2023-09-04,17,17,30,42,68,483
2023-09-03,14,20,32,35,67,480
2023-09-02,20,17,30,32,72,477
2023-09-01,13,21,29,25,73,479
2023-08-31,17,26,29,25,74,474
2023-08-30,19,26,26,25,75,475
2023-08-29,17,24,28,29,72,476
2023-08-28,22,20,18,36,76,474
2023-08-27,12,27,18,40,75,478
2023-08-26,21,23,16,39,76,478
2023-08-25,25,25,17,32,76,475
2023-08-24,16,23,23,32,78,472
2023-08-23,27,16,22,34,77,469
2023-08-22,16,15,24,32,75,468
2023-08-21,8,18,24,33,70,475
2023-08-20,20,23,25,36,68,473
2023-08-19,18,19,22,46,66,470
2023-08-18,18,19,12,44,61,471
2023-08-17,17,23,17,43,62,470
2023-08-16,16,21,21,39,57,476
2023-08-15,21,15,31,41,59,475
2023-08-14,10,16,27,36,59,474
2023-08-13,14,21,29,34,56,475
2023-08-12,13,26,27,34,56,474
2023-08-11,21,26,29,35,60,473
2023-08-10,17,24,28,34,58,477
2023-08-09,27,22,26,31,57,478
2023-08-08,15,27,28,35,49,482
2023-08-07,25,28,27,40,54,483
2023-08-06,24,26,24,32,58,478
2023-08-05,20,21,25,34,56,481
2023-08-04,19,27,24,39,57,483
2023-08-03,19,22,19,37,60,490
2023-08-02,23,21,21,31,63,487
2023-08-01,20,27,21,24,68,492
2023-07-31,19,28,29,32,68,495
2023-07-30,22,21,26,35,67,506
2023-07-28,19,22,14,35,69,505
2023-07-27,20,32,21,39,73,501
2023-07-26,21,22,23,40,72,506
2023-07-25,26,10,19,43,72,509
2023-07-24,6,20,16,40,73,508
2023-07-23,13,21,22,35,72,506
2023-07-22,14,20,26,33,70,505
2023-07-21,17,13,28,38,71,506
2023-07-20,13,21,26,45,72,502
2023-07-19,9,29,22,42,68,504
2023-07-18,18,24,25,42,64,507
2023-07-17,20,26,27,49,68,512
2023-07-16,16,24,26,46,67,509
2023-07-15,17,22,21,37,66,506
2023-07-14,18,27,25,34,65,508
2023-07-13,22,31,31,34,63,505
2023-07-12,24,18,34,32,62,502
2023-07-11,26,13,30,32,59,502
2023-07-10,5,24,29,39,63,502
2023-07-09,14,27,25,37,62,501
2023-07-08,26,28,20,40,60,501
2023-07-07,21,27,18,38,66,495
2023-07-06,16,31,27,36,65,496
2023-07-05,27,20,29,35,64,493
2023-07-04,18,14,26,35,63,491
2023-07-03,9,24,24,39,65,487
2023-07-02,17,28,21,39,61,489
2023-07-01,25,26,21,37,59,487
2023-06-30,24,16,17,38,60,490
2023-06-29,16,27,22,40,63,486
2023-06-28,12,22,24,35,63,487
2023-06-27,21,13,27,37,68,485
2023-06-26,9,18,26,38,63,488
2023-06-25,14,28,22,37,65,484
2023-06-24,22,27,21,32,64,484
2023-06-23,23,25,27,29,65,483
2023-06-22,19,22,32,29,59,481
2023-06-21,18,22,30,35,63,482
2023-06-20,17,20,21,32,60,483
2023-06-19,20,27,20,37,60,482
2023-06-18,10,37,20,35,56,479
2023-06-17,26,32,20,43,62,483
2023-06-16,29,21,23,45,61,481
2023-06-15,16,18,20,40,60,483
2023-06-14,13,19,27,40,61,484
2023-06-13,12,20,25,35,61,483
2023-06-12,11,19,34,34,56,485
2023-06-11,18,18,26,30,58,484
2023-06-10,17,23,34,27,53,486
2023-06-09,13,23,24,29,52,486
2023-06-08,24,27,25,32,50,486
2023-06-07,12,26,18,31,55,482
2023-06-06,27,21,20,32,56,481
2023-06-05,13,23,22,30,55,481
2023-06-04,20,19,23,33,54,480
2023-06-03,14,22,18,30,57,478
2023-06-02,24,21,22,31,56,475
2023-06-01,16,16,23,35,57,474
2023-05-31,14,25,31,37,62,466
2023-05-30,20,16,25,42,61,466
2023-05-29,18,21,21,43,57,467
2023-05-28,7,30,18,44,59,478
2023-05-27,30,26,16,39,59,481
2023-05-26,28,20,38,35,67,480
2023-05-25,18,19,44,34,74,476
2023-05-24,19,13,32,29,73,476
2023-05-23,10,29,32,28,66,477
2023-05-22,11,38,31,31,70,471
2023-05-21,24,35,32,34,69,471
2023-05-20,21,37,27,33,66,470
2023-05-19,27,26,21,37,68,472
2023-05-18,19,30,17,38,71,478
2023-05-17,19,32,17,43,69,488
2023-05-16,27,22,17,36,60,496
2023-05-15,19,21,26,47,60,508
2023-05-14,13,17,23,47,63,512
2023-05-13,15,19,22,43,62,518
2023-05-12,16,23,14,42,60,523
2023-05-11,17,29,20,34,61,521
2023-05-10,18,22,29,32,59,522
2023-05-09,21,10,32,27,66,521
2023-05-08,9,21,38,28,66,529
2023-05-07,15,30,33,31,61,525
2023-05-06,23,36,31,41,61,528
2023-05-05,23,31,21,42,56,528
2023-05-04,29,32,20,49,50,532
2023-05-03,18,38,23,44,49,530
2023-05-02,26,23,30,44,47,536
2023-05-01,27,19,28,42,47,537
2023-04-30,18,23,27,37,47,543
2023-04-29,29,20,24,36,48,541
2023-04-28,20,25,28,30,46,541
2023-04-27,18,27,35,27,50,543
2023-04-26,29,15,36,31,49,554
2023-04-25,12,23,34,34,47,556
2023-04-24,16,37,27,30,50,550
2023-04-23,27,33,21,34,47,552
2023-04-22,20,38,18,29,50,551
2023-04-21,28,28,26,29,51,550
2023-04-20,28,16,22,29,53,550
2023-04-19,16,28,24,29,57,548
2023-04-18,16,29,21,27,58,544
2023-04-17,31,24,21,25,58,547
2023-04-16,20,24,17,23,61,544
2023-04-15,20,19,17,19,60,543
2023-04-14,16,25,22,21,58,546
2023-04-13,23,23,23,26,61,547
2023-04-12,25,28,25,31,60,545
2023-04-11,19,23,18,33,62,540
2023-04-10,19,26,21,33,63,543
2023-04-09,17,33,20,36,63,539
2023-04-08,23,24,19,40,65,537
2023-04-07,23,16,16,29,59,538
2023-04-06,18,21,28,34,64,534
2023-04-05,14,20,28,34,67,532
2023-04-04,25,14,30,36,64,529
2023-04-03,15,15,17,41,61,529
2023-04-02,13,33,17,35,68,525
2023-04-01,11,29,20,35,70,518
2023-03-31,31,16,19,35,74,516
2023-03-30,14,20,28,31,71,520
2023-03-29,16,17,25,32,69,523
2023-03-28,19,21,34,31,69,524
2023-03-27,13,30,31,32,70,524
2023-03-26,24,24,29,33,70,524
2023-03-25,13,30,26,31,63,523
2023-03-24,23,30,23,39,69,517
2023-03-23,27,37,19,39,77,520
2023-03-22,25,34,26,38,73,517
2023-03-21,25,23,31,40,73,519
2023-03-20,24,26,34,40,75,519
2023-03-19,16,27,29,46,79,517
2023-03-18,23,31,23,39,76,514
2023-03-17,22,31,26,43,73,511
2023-03-16,26,30,26,51,69,512
2023-03-15,20,24,26,47,71,508
2023-03-14,22,17,29,41,70,511
2023-03-13,12,23,36,39,72,504
2023-03-12,18,24,40,44,72,500
2023-03-11,22,24,32,41,74,509
2023-03-10,24,34,28,35,75,509
2023-03-09,23,45,33,29,68,515
2023-03-08,31,31,37,37,68,512
2023-03-07,27,28,31,37,69,510
2023-03-06,25,28,24,39,69,510
2023-03-05,20,32,18,37,75,506
2023-03-04,24,41,20,41,71,504
2023-03-03,33,30,18,44,72,499
2023-03-02,22,21,20,40,70,497
2023-03-01,27,21,27,40,68,497
2023-02-28,12,21,30,39,62,499
2023-02-27,23,18,32,46,69,498
2023-02-26,19,23,25,41,72,497
2023-02-25,15,32,20,40,67,502
2023-02-24,24,29,21,38,66,505
2023-02-23,27,26,30,37,67,505
2023-02-22,27,21,34,36,71,502
2023-02-21,22,18,30,30,70,499
2023-02-20,11,26,24,38,68,499
2023-02-19,12,39,18,38,72,497
2023-02-18,22,30,21,31,70,497
2023-02-17,28,21,24,36,67,499
2023-02-16,22,29,27,37,70,495
2023-02-15,22,19,23,40,73,493
2023-02-14,25,19,19,40,74,489
2023-02-13,13,30,22,42,76,488
2023-02-12,22,22,22,41,71,490
2023-02-11,24,19,20,38,73,492
2023-02-10,20,14,24,36,73,495
2023-02-09,19,21,31,33,74,492
2023-02-08,28,21,34,31,73,487
2023-02-07,18,24,28,33,70,488
2023-02-06,17,31,27,36,70,486
2023-02-05,15,30,20,33,66,484
2023-02-04,25,30,20,36,67,479
2023-02-03,24,29,19,40,69,476
2023-02-02,23,25,20,45,76,472
2023-02-01,25,20,19,39,71,468
