is:open updated:{{param|relative_date}},>1|today,3..1|last 3 days,7..4|last week,14..8|last 2 weeks,30..15|last month,<30|more than a month
2018-12-09,22,81,34,19,1,1
2018-12-08,53,51,34,16,1,1
2018-12-07,48,53,40,7,2,1
2018-12-06,53,60,33,2,2,1
2018-12-05,34,102,35,1,2,1
2018-12-04,80,60,24,1,2,1
2018-12-03,67,61,28,4,2,1
2018-12-02,52,61,42,6,3,1
2018-12-01,49,53,46,5,3,1
2018-11-30,54,66,30,8,4,3
2018-11-29,41,74,18,7,3,3
2018-11-28,30,104,15,6,3,3
2018-11-27,71,55,14,6,2,3
2018-11-26,51,38,45,7,2,3
2018-11-25,46,40,49,10,2,6
2018-11-24,25,62,34,19,1,6
2018-11-23,30,76,28,17,1,6
2018-11-22,46,71,26,10,1,6
2018-11-21,55,58,34,3,2,5
2018-11-20,46,48,42,3,3,6
2018-11-19,47,41,39,2,3,6
2018-11-18,26,83,32,3,4,6
2018-11-17,45,71,21,2,4,6
2018-11-16,46,74,7,2,4,6
2018-11-15,55,49,10,4,4,7
2018-11-14,48,52,16,14,3,7
2018-11-13,61,43,29,11,3,8
2018-11-12,44,30,43,22,3,8
2018-11-11,30,42,43,22,3,8
2018-11-10,28,56,44,19,3,7
2018-11-09,39,55,33,14,3,8
2018-11-08,37,70,23,12,3,8
2018-11-07,48,65,27,8,3,8
2018-11-06,56,44,28,13,3,8
2018-11-05,59,43,37,14,2,8
2018-11-04,25,64,37,17,1,8
2018-11-03,44,54,32,14,2,7
2018-11-02,45,52,24,12,2,7
2018-11-01,39,70,21,9,2,7
2018-10-31,34,56,21,5,3,6
2018-10-30,46,37,20,2,5,6
2018-10-29,37,31,30,18,5,6
2018-10-28,29,48,33,17,5,6
2018-10-27,26,48,32,13,5,6
2018-10-26,48,57,19,15,6,5
2018-10-25,42,53,14,15,6,4
2018-10-24,37,67,31,8,6,4
2018-10-23,60,38,32,3,5,4
2018-10-22,31,43,44,11,6,4
2018-10-21,19,50,43,11,5,4
2018-10-20,31,56,28,13,5,4
2018-10-19,37,69,9,12,4,4
2018-10-18,38,70,8,10,4,4
2018-10-17,44,67,13,13,5,3
2018-10-16,81,20,22,9,5,3
2018-10-15,32,34,35,17,28,3
2018-10-14,23,49,29,14,29,2
2018-10-13,26,47,27,11,27,2
2018-10-12,36,50,13,10,26,2
2018-10-11,39,56,18,10,23,2
2018-10-10,33,58,19,18,16,2
2018-10-09,52,37,15,28,6,2
2018-10-08,33,36,29,33,3,2
2018-10-07,19,60,23,30,3,2
2018-10-06,30,47,29,27,4,1
2018-10-05,38,52,21,26,4,1
2018-10-04,43,42,20,24,4,1
2018-10-03,34,51,29,17,5,1
2018-10-02,43,42,39,5,4,1
2018-10-01,39,41,39,2,3,1
2018-09-30,34,55,39,2,3,1
2018-09-29,51,40,30,2,3,2
2018-09-28,42,70,9,4,2,2
2018-09-27,29,83,4,4,3,1
2018-09-26,56,59,2,3,3,1
2018-09-25,71,36,5,15,6,1
2018-09-24,32,37,27,25,7,1
2018-09-23,34,34,26,25,6,1
2018-09-22,31,37,24,25,5,1
2018-09-21,42,47,17,26,4,1
2018-09-20,40,55,14,27,2,0
2018-09-19,35,53,14,25,2,0
2018-09-18,39,36,26,15,2,0
2018-09-17,49,30,31,12,2,0
2018-09-16,22,57,29,11,2,0
2018-09-15,40,40,32,8,2,0
2018-09-14,43,46,20,5,2,0
2018-09-13,38,61,22,0,2,0
2018-09-12,42,56,17,0,2,0
2018-09-11,75,38,11,1,1,1
2018-09-10,37,40,38,10,1,1
2018-09-09,30,56,30,8,2,0
2018-09-08,33,59,21,8,2,0
2018-09-07,50,61,12,6,2,0
2018-09-06,59,63,11,5,2,0
2018-09-05,58,45,24,2,2,0
2018-09-04,69,28,28,2,1,0
2018-09-03,32,30,52,6,1,0
2018-09-02,20,46,53,3,1,0
2018-09-01,38,40,49,2,1,0
2018-08-31,35,53,33,2,2,0
2018-08-30,36,92,10,2,2,0
2018-08-29,39,88,7,1,2,0
2018-08-28,54,72,5,1,1,0
2018-08-27,76,40,9,2,3,4
2018-08-26,31,55,35,10,6,4
2018-08-25,42,49,31,9,7,3
2018-08-24,42,72,21,11,10,3
2018-08-23,44,63,11,16,8,3
2018-08-22,46,60,15,14,7,2
2018-08-21,55,55,23,15,3,2
2018-08-20,51,39,27,18,5,0
2018-08-19,28,47,27,20,5,0
2018-08-18,28,50,22,18,5,0
2018-08-17,35,59,17,16,5,0
2018-08-16,51,55,20,10,5,0
2018-08-15,53,54,24,5,5,0
2018-08-14,63,38,34,1,4,0
2018-08-13,30,47,43,4,4,0
2018-08-12,24,74,32,4,4,0
